4,430,134
1,142,467
1,351,52
1,540,513
2,194,129
3,665,128
3,706,129
4,118,20
1,193,405
4,100,380
1,533,473
2,211,483
3,135,313
2,646,411
2,305,118
3,248,190
2,511,186
2,229,473
1,51,298
1,199,196
5,409,176
5,562,418
2,691,130
3,484,443
2,635,6
3,421,94
2,543,417
2,295,315
2,656,294
3,174,402
5,741,541
3,359,155
1,648,530
3,509,99
5,341,18
5,439,361
2,703,490
4,624,110
1,265,11
5,698,63
5,455,305
5,166,202
2,41,556
5,224,372
1,626,367
4,680,392
1,257,500
1,677,305
4,318,161
4,70,59
5,463,546
3,353,94
2,456,367
4,790,156
2,602,192
2,48,572
2,483,500
5,24,95
2,632,34
2,274,326
1,633,383
3,444,397
1,256,433
1,631,310
5,402,428
4,537,60
1,524,598
4,399,126
1,343,28
4,668,516
2,688,501
1,512,214
2,685,203
5,510,496
2,755,383
1,639,147
3,120,249
4,318,295
5,86,168
2,740,260
5,61,111
2,733,220
4,156,317
4,500,127
4,689,588
2,745,230
4,174,142
1,216,579
2,748,501
3,503,522
4,415,204
2,571,50
1,776,394
4,477,301
5,243,101
2,610,163
3,190,183
4,755,245
1,508,579
4,134,312
4,583,138
4,354,86
1,127,106
3,383,204
3,519,250
3,202,543
2,105,4
3,122,25
1,687,298
2,590,426
5,742,175
2,189,82
2,474,251
3,328,251
3,355,384
5,225,595
2,89,36
5,318,5
4,32,169
5,354,416
4,144,575
2,732,78
4,488,385
4,584,93
4,300,334
4,391,452
4,201,328
4,335,328
3,651,503
4,81,411
3,273,328
2,388,426
1,599,585
4,441,165
3,74,118
2,194,560
4,495,401
1,224,149
5,400,545
1,719,128
1,154,319
1,187,267
2,727,242
1,589,247
4,171,462
2,19,155
1,574,124
3,660,565
1,284,550
2,149,386
5,430,545
2,732,212
4,92,519
1,404,93
4,785,109
3,688,115
4,537,7
4,344,366
5,272,494
2,579,505
3,113,180
3,140,283
1,508,42
5,744,489
3,516,570
1,402,555
4,442,120
2,779,566
3,665,104
3,455,294
2,289,150
1,605,325
2,459,561
1,623,150
2,246,453
3,659,474
2,356,59
3,731,350
4,189,586
1,790,263
5,431,500
1,406,273
3,277,530
2,259,284
1,465,99
1,770,146
3,705,418
1,138,54
5,645,55
1,704,465
2,532,234
3,358,495
3,380,254
3,719,474
1,266,239
3,760,475
1,761,218
5,757,269
5,440,562
2,544,244
1,340,161
1,18,110
2,568,49
3,72,259
4,127,219
2,634,295
1,160,351
2,50,244
3,535,141
1,594,54
3,440,254
5,458,363
5,62,363
3,252,203
4,481,316
2,97,440
4,345,455
4,25,450
1,208,368
5,209,9
4,685,496
2,684,358
5,1,245
3,683,547
3,562,220
1,281,65
1,48,271
2,585,537
3,253,404
1,125,491
4,242,276
2,202,210
5,427,245
4,457,56
2,480,312
5,758,200
2,707,503
1,102,76
3,433,348
2,211,272
2,285,221
3,94,101
3,321,292
2,720,149
4,187,353
2,422,492
2,21,148
3,393,168
2,755,143
1,300,441
5,353,272
2,38,502
3,451,523
4,637,0
3,201,348
1,13,384
4,660,169
3,599,394
1,751,498
1,314,497
2,47,406
3,83,477
1,24,169
3,592,354
4,766,6
1,390,492
5,140,514
2,327,231
1,197,97
2,665,226
3,497,467
3,212,483
1,368,329
4,799,304
4,688,473
1,718,334
3,265,467
5,451,160
3,336,118
2,128,529
5,767,396
4,33,370
4,129,78
5,296,222
2,166,232
1,63,231
3,292,196
3,636,6
3,42,21
1,310,108
1,406,570
3,267,139
3,341,88
4,553,32
1,556,514
5,361,243
2,210,130
1,454,237
3,36,391
1,264,113
2,252,541
3,795,416
2,361,484
1,584,468
4,340,274
3,169,139
2,377,428
2,435,406
5,279,2
4,548,196
2,164,320
2,604,592
4,546,500
4,601,207
2,793,464
4,671,387
5,673,464
5,310,412
5,745,340
1,513,12
4,403,572
5,460,356
2,710,587
2,443,243
5,421,593
5,765,403
5,798,351
5,154,249
4,363,392
5,645,486
2,474,495
1,344,361
2,568,130
2,298,269
5,108,254
3,377,387
2,0,23
1,258,28
2,151,192
2,621,141
1,562,439
1,147,197
4,434,393
3,673,156
3,430,398
4,659,511
5,238,485
1,650,259
3,524,33
5,411,413
3,615,151
2,10,337
5,539,598
5,575,255
3,407,387
1,119,219
1,136,388
3,48,454
5,763,491
1,705,316
1,497,552
3,214,342
5,487,34
4,154,352
4,228,301
1,568,203
1,698,434
1,35,90
5,547,435
5,607,486
3,30,413
4,374,476
4,280,60
4,15,543
4,524,420
3,768,527
2,28,111
3,554,9
2,602,383
5,200,512
3,522,471
5,505,559
3,48,588
4,649,307
5,632,142
5,250,40
4,750,359
5,745,19
5,614,502
4,725,302
1,137,343
1,170,291
4,724,77
3,584,9
3,547,127
2,328,349
3,717,538
3,1,368
2,587,51
5,144,179
2,289,394
4,320,374
2,417,579
5,569,328
4,754,77
2,791,231
5,260,512
2,653,297
2,732,590
2,601,107
3,692,77
4,161,502
3,69,71
4,694,184
3,368,138
5,553,175
5,255,518
3,101,548
2,273,426
2,694,456
5,576,344
2,423,370
4,631,20
3,495,71
2,763,411
1,118,585
1,550,242
4,469,42
2,300,128
5,536,514
1,241,426
1,562,252
1,527,231
3,30,92
1,771,591
1,168,298
5,675,299
5,260,57
1,393,416
5,407,484
5,44,432
2,337,545
1,105,134
1,201,596
5,290,84
4,635,88
1,687,489
4,726,391
1,138,432
2,684,252
2,362,201
1,311,360
5,73,207
5,737,372
5,552,592
3,274,586
4,585,509
2,471,494
4,263,458
1,602,135
1,293,319
3,560,576
1,122,437
